28/04/2020 15:08:39,USA,United States,country,938590,48310
28/04/2020 15:08:39,USA-53,Washington,state,13484,743
28/04/2020 15:08:39,USA-53061,Snohomish,county,2297,103,Washington
28/04/2020 15:08:39,USA-17,Illinois,state,41777,1884
28/04/2020 15:08:39,USA-17031,Cook,county,29058,1267,Illinois
28/04/2020 15:08:39,USA-06,California,state,42347,1677
28/04/2020 15:08:39,USA-06059,Orange,county,1969,38,California
28/04/2020 15:08:39,USA-04,Arizona,state,6280,275
28/04/2020 15:08:39,USA-04013,Maricopa,county,3234,121,Arizona
28/04/2020 15:08:39,USA-06037,Los Angeles,county,19107,895,California
28/04/2020 15:08:39,USA-06085,Santa Clara,county,2040,100,California
28/04/2020 15:08:39,USA-25,Massachusetts,state,53348,2730
28/04/2020 15:08:39,USA-25025,Suffolk,county,11218,391,Massachusetts
28/04/2020 15:08:39,USA-06075,San Francisco,county,1357,22,California
28/04/2020 15:08:39,USA-55,Wisconsin,state,5687,266
28/04/2020 15:08:39,USA-55025,Dane,county,401,21,Wisconsin
28/04/2020 15:08:39,USA-06073,San Diego,county,2943,111,California
28/04/2020 15:08:39,USA-48,Texas,state,24494,662
28/04/2020 15:08:39,USA-48029,Bexar,county,1243,43,Texas
28/04/2020 15:08:39,USA-31,Nebraska,state,2902,53
28/04/2020 15:08:39,USA-31055,Douglas,county,396,14,Nebraska
28/04/2020 15:08:39,USA-06023,Humboldt,county,53,0,California
28/04/2020 15:08:39,USA-06067,Sacramento,county,1025,41,California
28/04/2020 15:08:39,USA-06095,Solano,county,204,4,California
28/04/2020 15:08:39,USA-53063,Spokane,county,345,19,Washington
28/04/2020 15:08:39,USA-49,Utah,state,3950,41
28/04/2020 15:08:39,USA-49035,Salt Lake,county,2051,25,Utah
28/04/2020 15:08:39,USA-06041,Marin,county,223,12,California
28/04/2020 15:08:39,USA-06055,Napa,county,61,2,California
28/04/2020 15:08:39,USA-06097,Sonoma,county,218,2,California
28/04/2020 15:08:39,USA-41,Oregon,state,2253,87
28/04/2020 15:08:39,USA-41067,Washington,county,459,10,Oregon
28/04/2020 15:08:39,USA-53033,King,county,5813,401,Washington
28/04/2020 15:08:39,USA-06001,Alameda,county,1458,52,California
28/04/2020 15:08:39,USA-12,Florida,state,30831,1054
28/04/2020 15:08:39,USA-12057,Hillsborough,county,1041,21,Florida
